Date,Price,Open,High,Low,Vol.,Change %
2021-04-26,"54,020.50","48,963.50","54,320.90","48,815.90",129.76K,10.33%
2021-04-25,"48,963.60","50,088.20","50,532.40","47,098.50",59.20K,-2.25%
2021-04-24,"50,088.90","51,140.80","51,183.00","48,775.20",82.25K,-2.06%
2021-04-23,"51,143.60","51,707.10","52,099.90","47,659.40",214.46K,-1.13%
2021-04-22,"51,729.50","53,821.30","55,408.40","50,590.90",168.13K,-3.88%
2021-04-21,"53,820.20","56,479.50","56,764.40","53,657.60",100.26K,-4.71%
2021-04-20,"56,483.20","55,645.10","57,054.90","53,422.50",115.49K,1.50%
2021-04-19,"55,646.10","56,208.10","57,517.00","54,272.30",117.51K,-1.00%
2021-04-18,"56,207.10","60,043.20","60,362.10","51,817.60",216.81K,-6.39%
2021-04-17,"60,041.90","61,358.30","62,509.10","59,672.10",84.08K,-2.18%
2021-04-16,"61,379.70","63,211.60","63,518.50","60,027.30",136.85K,-2.90%
2021-04-15,"63,216.00","62,978.60","63,729.10","62,067.50",76.97K,0.37%
2021-04-14,"62,980.40","63,544.20","64,778.00","61,366.30",130.43K,-0.88%
2021-04-13,"63,540.90","59,863.60","63,659.00","59,839.40",126.56K,6.14%
2021-04-12,"59,863.80","59,982.10","61,259.90","59,569.20",81.88K,-0.19%
2021-04-11,"59,978.70","59,772.40","60,667.10","59,250.30",58.20K,0.39%
2021-04-10,"59,748.40","58,127.40","61,229.00","57,900.00",103.72K,2.80%
2021-04-09,"58,118.70","58,076.80","58,890.90","57,686.00",59.22K,0.07%
2021-04-08,"58,077.40","55,948.00","58,136.70","55,721.60",64.78K,3.80%
2021-04-07,"55,948.70","57,996.30","58,627.70","55,489.30",110.69K,-3.53%
2021-04-06,"57,996.30","59,169.00","59,487.00","57,403.30",77.15K,-1.69%
2021-04-05,"58,993.40","58,202.30","59,205.10","56,842.70",54.13K,1.36%
2021-04-04,"58,199.90","57,059.70","58,464.80","56,470.60",57.21K,2.00%
2021-04-03,"57,059.90","58,976.80","59,770.50","56,906.70",68.74K,-3.25%
2021-04-02,"58,977.30","58,718.20","60,134.90","58,466.50",72.37K,0.44%
2021-04-01,"58,718.30","58,763.20","59,406.50","58,040.70",69.04K,-0.08%
2021-03-31,"58,763.70","58,771.40","59,795.60","56,991.60",98.06K,-0.01%
2021-03-30,"58,771.30","57,614.60","59,366.90","57,077.10",86.21K,2.00%
2021-03-29,"57,616.20","55,764.70","58,392.60","54,951.10",107.91K,3.32%
2021-03-28,"55,765.20","55,856.90","56,504.20","54,711.30",58.71K,-0.17%
2021-03-27,"55,862.90","55,033.80","56,531.10","54,010.20",73.87K,1.50%
2021-03-26,"55,036.10","51,317.40","55,074.10","51,302.00",100.30K,7.24%
2021-03-25,"51,322.30","52,330.00","53,175.40","50,441.30",143.35K,-1.92%
2021-03-24,"52,325.40","54,309.10","57,169.40","51,725.40",137.91K,-3.91%
2021-03-23,"54,452.50","54,117.50","55,813.80","52,992.30",84.84K,0.54%
2021-03-22,"54,158.30","57,379.30","58,379.90","53,784.20",95.53K,-5.62%
2021-03-21,"57,383.80","58,097.40","58,583.80","55,583.30",77.47K,-1.22%
2021-03-20,"58,093.40","58,084.10","59,882.10","57,863.00",67.83K,0.01%
2021-03-19,"58,088.00","57,645.00","59,448.30","56,305.10",83.98K,0.75%
2021-03-18,"57,656.00","58,911.80","60,088.00","57,099.60",102.62K,-2.13%
2021-03-17,"58,913.50","56,892.90","58,933.20","54,253.20",118.26K,3.56%
2021-03-16,"56,889.70","55,619.50","56,889.70","53,342.60",128.51K,1.97%
2021-03-15,"55,791.30","59,117.40","60,565.90","55,088.80",117.71K,-5.62%
2021-03-14,"59,113.70","61,192.70","61,673.70","59,113.70",80.29K,-3.40%
2021-03-13,"61,195.30","57,267.40","61,795.80","56,118.80",134.64K,6.86%
2021-03-12,"57,265.10","57,806.20","58,052.30","55,134.50",116.96K,-0.92%
2021-03-11,"57,799.50","55,851.20","58,135.00","54,351.80",129.63K,3.49%
2021-03-10,"55,851.90","54,882.70","57,328.70","53,073.60",140.96K,1.77%
2021-03-09,"54,879.00","52,352.40","54,880.60","51,941.30",114.06K,4.91%
2021-03-08,"52,311.00","50,988.90","52,384.90","49,338.10",68.14K,2.61%
2021-03-07,"50,982.30","48,899.00","51,434.10","48,890.60",82.91K,4.35%
2021-03-06,"48,855.60","48,798.70","49,191.80","47,132.80",66.66K,0.13%
2021-03-05,"48,792.50","48,363.60","49,429.40","46,370.10",113.64K,0.75%
2021-03-04,"48,428.00","50,388.00","51,757.70","47,521.80",9.56K,-3.90%
2021-03-03,"50,395.10","48,422.20","52,567.90","48,159.20",44.93K,4.07%
2021-03-02,"48,424.20","49,595.60","50,191.90","47,100.60",102.10K,-2.36%
2021-03-01,"49,595.50","45,160.50","49,774.00","45,008.80",137.52K,9.81%
2021-02-28,"45,164.00","46,136.00","46,582.00","43,100.60",135.08K,-2.11%
2021-02-27,"46,136.70","46,333.10","48,335.10","45,059.40",98.75K,-0.45%
