Date,Price,Open,High,Low,Vol.,Change %
2021-04-25,33.896,30.2007,34.603,30.2007,4.65M,12.34%
2021-04-24,30.1715,32.9186,32.9186,30.1293,3.10M,-8.40%
2021-04-23,32.9372,33.728,33.728,31.4418,9.04M,-3.00%
2021-04-22,33.9543,33.7294,38.2183,33.7294,11.20M,1.62%
2021-04-21,33.4146,32.0011,35.3117,31.6882,6.86M,4.45%
2021-04-20,31.9898,31.4738,31.9898,29.4971,3.66M,1.81%
2021-04-19,31.4223,31.6225,32.5459,29.7389,3.94M,-0.90%
2021-04-18,31.7062,34.7959,34.7959,28.2315,6.69M,-8.92%
2021-04-17,34.8123,36.1468,37.3382,34.8123,2.73M,-3.62%
2021-04-16,36.1211,37.5735,37.5735,35.7914,4.00M,-4.30%
2021-04-15,37.7447,36.1831,39.06,36.0553,5.46M,4.52%
2021-04-14,36.1112,35.4914,36.4329,34.1658,4.60M,1.95%
2021-04-13,35.4216,36.8928,36.8928,34.5256,5.46M,-3.46%
2021-04-12,36.6907,29.9661,36.7115,29.9551,10.50M,22.71%
2021-04-11,29.9003,29.8332,30.2872,29.2697,2.33M,0.45%
2021-04-10,29.7649,29.5358,30.61,29.3868,1.86M,0.86%
2021-04-09,29.5108,30.1954,30.4516,29.5108,1.47M,-2.29%
2021-04-08,30.2033,28.6238,30.2033,28.6238,1.69M,5.97%
2021-04-07,28.5023,31.2931,31.2931,27.9881,2.80M,-8.74%
2021-04-06,31.2328,30.8302,32.0469,30.6665,2.54M,1.45%
2021-04-05,30.785,31.002,31.1049,29.8989,1.98M,-0.37%
2021-04-04,30.9002,29.16,31.0451,29.16,1.73M,5.26%
2021-04-03,29.355,30.2761,31.8505,29.355,4.27M,-2.87%
2021-04-02,30.2211,28.7038,30.2211,28.7038,2.25M,5.36%
2021-04-01,28.6848,28.1491,29.7664,28.1491,3.25M,2.31%
2021-03-31,28.038,28.5643,28.8611,27.3801,2.71M,-1.83%
2021-03-30,28.5605,29.0346,29.0479,28.4926,2.56M,-1.58%
2021-03-29,29.0185,27.895,29.4153,27.8712,2.81M,4.22%
2021-03-28,27.843,28.2637,28.6677,27.4983,2.03M,-1.12%
2021-03-27,28.1578,28.9051,29.1515,27.9134,2.40M,-2.83%
2021-03-26,28.9782,26.486,28.9782,26.486,3.20M,9.30%
2021-03-25,26.5118,27.171,27.4922,26.2819,4.92M,-3.27%
2021-03-24,27.4078,30.9577,31.5952,27.3607,6.87M,-11.59%
2021-03-23,31.0002,32.9311,34.442,30.8503,8.40M,-5.55%
2021-03-22,32.8211,32.9918,35.1837,31.9499,5.36M,-0.29%
2021-03-21,32.9156,32.0137,33.1012,31.748,1.81M,2.75%
2021-03-20,32.0342,33.2947,34.5065,32.0342,4.04M,-3.66%
2021-03-19,33.2514,30.0285,33.368,30.0285,3.48M,10.96%
2021-03-18,29.967,31.4454,31.4454,29.967,1.72M,-4.34%
2021-03-17,31.3276,30.0248,31.3276,29.6154,3.53M,4.43%
2021-03-16,30,29.7569,30,28.7562,2.46M,0.95%
2021-03-15,29.7184,30.6614,31.168,29.7184,2.78M,-3.32%
2021-03-14,30.7396,32.4683,33.2625,30.7396,2.62M,-5.52%
2021-03-13,32.5366,30.8851,33.2263,30.8851,3.41M,5.30%
2021-03-12,30.8985,31.0466,31.3126,29.8445,2.82M,-0.30%
2021-03-11,30.9915,30.9331,31.5216,29.6967,3.16M,0.36%
2021-03-10,30.8809,32.8972,32.8972,30.8809,3.83M,-5.95%
2021-03-09,32.8339,33.2665,33.9213,32.6,4.60M,-1.00%
2021-03-08,33.165,34.3423,34.6101,32.9292,6.60M,-3.35%
2021-03-07,34.3148,28.5523,34.3148,28.5523,8.64M,20.32%
2021-03-06,28.5201,28.3069,28.6393,27.6229,3.51M,0.67%
2021-03-05,28.3315,28.3694,28.3694,26.3486,7.11M,0.22%
2021-03-04,28.2687,25.2889,29.3,24.9212,10.29M,11.42%
2021-03-03,25.3704,25.531,27.36,25.3704,4.52M,-0.65%
2021-03-02,25.5358,25.7872,27.0345,24.7656,6.70M,-0.71%
2021-03-01,25.7178,22.2612,25.7178,22.2612,4.53M,15.86%
2021-02-28,22.1974,23.4518,23.6202,21,5.42M,-5.60%
2021-02-27,23.5148,23.0987,24.2843,23.0987,4.44M,1.63%
2021-02-26,23.137,23.4772,24.2669,21.1734,5.92M,-0.49%
2021-02-25,23.251,25.2398,25.95,23.251,5.76M,-7.81%
2021-02-24,25.2214,24.8776,27.0726,24.5782,7.43M,1.52%
2021-02-23,24.8447,27.7145,27.7145,21.1463,16.47M,-10.50%
2021-02-22,27.7601,28.8387,28.8387,25.1654,12.14M,-3.50%
2021-02-21,28.7683,28.8246,30.5584,28.4617,12.44M,0.22%
2021-02-20,28.7059,20.1277,31.1463,19.8685,23.80M,43.05%
2021-02-19,20.0674,21.2246,21.2246,20.0512,6.55M,-5.19%
2021-02-18,21.167,21.5692,21.8402,20.8567,4.09M,-1.59%
2021-02-17,21.508,20.4537,21.508,19.608,3.67M,4.92%
2021-02-16,20.4998,20.1054,20.958,19.8094,3.69M,2.08%
2021-02-15,20.0821,20.9534,21.175,17.5708,5.68M,-3.54%
2021-02-14,20.8182,21.8646,22.3442,20.8182,2.70M,-4.40%
2021-02-13,21.7764,22.6952,23.4713,21.4903,4.36M,-3.82%
2021-02-12,22.6423,21.47,23.3961,21.47,5.82M,5.56%
2021-02-11,21.4502,20.695,21.4502,20.2882,3.94M,3.60%
2021-02-10,20.7041,19.55,22.1564,19.55,7.97M,6.09%
2021-02-09,19.5158,19.374,19.5158,19.0879,4.42M,1.04%
2021-02-08,19.3143,18.6722,19.8371,18.4164,5.90M,3.40%
2021-02-07,18.6786,19.2033,19.4031,17.7559,6.02M,-2.78%
2021-02-06,19.2133,21.2653,21.2653,19.2133,5.45M,-9.18%
2021-02-05,21.1554,20.1484,21.2994,20.1484,6.87M,5.00%
2021-02-04,20.1487,19.7764,21.281,19.7764,8.88M,2.20%
2021-02-03,19.7156,19.0102,20.2437,19.0102,7.89M,3.60%
2021-02-02,19.0312,20.4751,20.4751,18.3765,8.88M,-7.16%
2021-02-01,20.5,17.6623,20.5,17.391,12.21M,15.79%
2021-01-31,17.7039,19.566,19.566,17.7039,15.72M,-9.64%
2021-01-30,19.5918,15.6376,19.5918,15.2452,13.27M,24.12%
2021-01-29,15.7845,14.1139,15.7845,14.1086,13.32M,11.94%
2021-01-28,14.1003,14.7063,15.0475,13.7633,14.39M,-4.60%
2021-01-27,14.7801,13.9118,15.2675,13.5521,20.24M,6.33%
2021-01-26,13.9,11.286,13.9,11.286,19.00M,23.05%
2021-01-25,11.2958,12.0154,12.5455,11.2109,13.13M,-5.72%
2021-01-24,11.9807,9.3357,11.9807,9.3357,12.72M,28.26%
2021-01-23,9.3413,8.6775,9.444,8.6775,5.35M,7.20%
2021-01-22,8.7141,7.5829,8.8765,7.4516,8.36M,14.62%
2021-01-21,7.6027,9,9,7.45,8.72M,-15.36%
2021-01-20,8.982,8.5755,8.982,7.93,9.67M,4.22%
2021-01-19,8.6185,9.18,9.3098,8.6185,8.64M,-6.24%
2021-01-18,9.1918,8.69,9.4627,8.5449,10.12M,5.79%
2021-01-17,8.689,8.401,8.8451,8.249,12.23M,3.48%
2021-01-16,8.3968,7.3762,8.6555,7.3558,16.66M,13.78%
2021-01-15,7.3796,6.968,7.3796,6.8129,16.79M,6.14%
2021-01-14,6.9526,6.3423,6.9526,6.3014,10.43M,9.29%
2021-01-13,6.3616,5.5785,6.3616,5.4712,6.79M,13.96%
2021-01-12,5.5824,5.2425,5.6677,5.0939,8.25M,6.64%
2021-01-11,5.2346,5.984,5.984,4.5443,14.90M,-12.43%
2021-01-10,5.9777,6.2405,6.5336,5.66,7.47M,-3.90%
2021-01-09,6.22,5.88,6.2795,5.7366,5.96M,5.81%
2021-01-08,5.8785,6.2717,6.2717,5.7287,8.26M,-6.01%
2021-01-07,6.2545,6.4291,6.5621,6.1742,7.83M,-2.51%
2021-01-06,6.4157,6.2815,6.4157,6.0635,8.26M,2.63%
2021-01-05,6.2514,5.4576,6.5372,5.2889,13.11M,15.46%
2021-01-04,5.4145,5.5415,6.168,5.1734,17.85M,-0.61%
2021-01-03,5.4475,4.8594,5.4475,4.7537,15.87M,12.17%
2021-01-02,4.8564,4.7404,4.8564,4.599,15.42M,2.56%
2021-01-01,4.7353,5.15,5.1566,4.7339,12.82M,-8.16%
2020-12-31,5.1563,4.1569,5.1563,4.0127,22.06M,24.24%
2020-12-30,4.1503,3.6887,4.1715,3.6562,12.47M,13.10%
2020-12-29,3.6695,3.7276,3.7276,3.5435,5.31M,-1.70%
