Date,Price,Open,High,Low,Vol.,Change %
2021-04-21,1.20451,1.267413,1.286353,1.198899,611.42M,-4.96%
2021-04-20,1.267353,1.195932,1.281106,1.130005,794.19M,5.98%
2021-04-19,1.195854,1.276862,1.323119,1.172362,1.02B,-6.35%
2021-04-18,1.276922,1.370757,1.381278,1.079095,1.43B,-6.85%
2021-04-17,1.370865,1.41076,1.45677,1.358862,603.76M,-2.84%
2021-04-16,1.410876,1.478676,1.518048,1.335989,901.35M,-4.58%
2021-04-15,1.478656,1.451791,1.491909,1.412216,794.86M,1.86%
2021-04-14,1.451656,1.412445,1.556575,1.354682,1.61B,2.78%
2021-04-13,1.412372,1.315437,1.436732,1.283105,208.73M,7.36%
2021-04-12,1.315495,1.263286,1.349398,1.263286,873.74M,4.15%
2021-04-11,1.263122,1.217913,1.289768,1.199939,667.69M,3.71%
2021-04-10,1.217928,1.202072,1.250884,1.19488,432.91M,1.33%
2021-04-09,1.201904,1.218713,1.228863,1.192572,277.94M,-1.39%
2021-04-08,1.218895,1.172356,1.224185,1.170494,394.52M,3.82%
2021-04-07,1.174041,1.251906,1.289109,1.160138,742.13M,-6.22%
2021-04-06,1.251885,1.211708,1.337037,1.191666,1.11B,3.32%
2021-04-05,1.211655,1.182041,1.22513,1.162444,484.02M,2.51%
2021-04-04,1.181938,1.163331,1.192717,1.153394,370.27M,1.60%
2021-04-03,1.163307,1.190299,1.240621,1.160046,531.51M,-2.26%
2021-04-02,1.190254,1.182849,1.243753,1.181292,431.79M,0.63%
2021-04-01,1.18282,1.191503,1.207497,1.172995,367.82M,-0.72%
2021-03-31,1.191349,1.212802,1.212802,1.156534,466.52M,-1.76%
2021-03-30,1.212645,1.202663,1.234403,1.189996,397.50M,0.82%
2021-03-29,1.202812,1.189703,1.229173,1.178932,401.46M,1.12%
2021-03-28,1.189546,1.176711,1.219066,1.167361,394.82M,1.08%
2021-03-27,1.176785,1.214468,1.237017,1.157739,474.01M,-3.10%
2021-03-26,1.214457,1.096385,1.285602,1.095453,1.05B,10.76%
