Date,Price,Open,High,Low,Vol.,Change %
2021-05-29,2276.07,2411.68,2567.42,2207.21,2.94M,-5.73%
2021-05-28,2414.29,2742.39,2760.17,2332.43,3.26M,-11.75%
2021-05-27,2735.88,2885.02,2885.87,2638.62,2.39M,-5.16%
2021-05-26,2884.66,2705.69,2908.37,2648.1,2.66M,6.64%
2021-05-25,2705.09,2647.27,2747.49,2388.81,3.28M,2.20%
2021-05-24,2646.79,2101.3,2667.2,2080.87,3.24M,25.96%
2021-05-23,2101.34,2292.68,2379.89,1739.91,3.52M,-8.30%
2021-05-22,2291.6,2433.09,2481.06,2162.84,2.82M,-5.82%
2021-05-21,2433.11,2766.88,2931.66,2111.42,4.23M,-12.40%
2021-05-20,2777.55,2436.59,2988.52,2163.4,4.33M,14.04%
2021-05-19,2435.69,3376.22,3434.01,1922.25,6.42M,-27.89%
2021-05-18,3377.55,3280.5,3558.57,3244.93,2.30M,2.98%
2021-05-17,3279.68,3582.19,3582.27,3130.12,2.85M,-8.44%
2021-05-16,3582.12,3643.67,3877.2,3351.92,2.28M,-1.63%
2021-05-15,3641.65,4074.57,4129.99,3639.12,1.94M,-10.64%
2021-05-14,4075.38,3719.46,4171.76,3694.54,2.06M,9.56%
2021-05-13,3719.62,3807.5,4031.99,3539.96,3.21M,-2.42%
2021-05-12,3811.77,4173.61,4366.1,3794.15,2.78M,-8.54%
2021-05-11,4167.78,3948.66,4177.53,3781.86,1.27M,5.57%
2021-05-10,3947.9,3923.48,4203.98,3669.84,2.70M,0.65%
2021-05-09,3922.23,3905.69,3979.77,3734.44,1.94M,0.43%
2021-05-08,3905.55,3479.81,3952.88,3453.37,1.34M,12.19%
2021-05-07,3481.22,3490.83,3583.34,3363.56,1.35M,-0.24%
2021-05-06,3489.52,3522.74,3601.59,3380.6,1.51M,-0.94%
2021-05-05,3522.76,3284.31,3540.78,3228.86,1.87M,7.18%
2021-05-04,3286.71,3429.48,3516.34,3188.9,2.74M,-4.16%
2021-05-03,3429.37,2950.07,3451.44,2950.07,2.32M,16.24%
2021-05-02,2950.33,2945.04,2984.52,2854.12,1.30M,0.19%
2021-05-01,2944.66,2772.27,2951.74,2753.6,1.51M,6.20%
2021-04-30,2772.78,2757.02,2797.61,2726.03,1.52M,0.56%
2021-04-29,2757.36,2746.51,2797.52,2670.35,1.65M,0.39%
2021-04-28,2746.54,2665.83,2759.03,2562.74,1.74M,3.05%
2021-04-27,2665.24,2531.07,2677.95,2484.44,1.45M,5.22%
2021-04-26,2533.12,2320.63,2539.8,2305.97,1.79M,9.35%
2021-04-25,2316.48,2217.23,2355.2,2169.91,1.02M,4.54%
2021-04-24,2215.93,2367.35,2367.46,2159.6,1.61M,-6.39%
2021-04-23,2367.31,2398.95,2440.21,2119.26,3.46M,-1.41%
2021-04-22,2401.1,2360.32,2642.99,2313.46,3.17M,1.71%
2021-04-21,2360.81,2331.84,2467.51,2238.15,2.10M,1.23%
2021-04-20,2332.14,2161.06,2345.18,2058,1.86M,7.94%
2021-04-19,2160.63,2236.1,2275.87,2081.3,1.90M,-3.42%
2021-04-18,2237.17,2317.88,2338.53,1948.93,2.76M,-3.50%
2021-04-17,2318.33,2424.12,2493.93,2314.12,1.73M,-4.33%
2021-04-16,2423.18,2514.55,2544.54,2302.3,2.08M,-3.62%
2021-04-15,2514.22,2432.9,2541.9,2402.75,1.91M,3.40%
