Date,Price,Open,High,Low,Vol.,Change %
2020-12-13,19176.8,18808.1,19403.6,18716.8,82.45K,1.96%
2020-12-12,18808.9,18026.7,18936.2,18025.1,71.37K,4.36%
2020-12-11,18023.6,18250.5,18288.3,17600.1,111.53K,-1.23%
2020-12-10,18247.2,18546.1,18551.8,17926.8,85.31K,-1.61%
2020-12-09,18546,18322.4,18637.9,17658.8,129.72K,1.20%
2020-12-08,18326.6,19170.8,19288.6,18229.2,101.41K,-4.40%
2020-12-07,19170.7,19368.4,19424.6,18908.8,61.98K,-1.08%
2020-12-06,19379.9,19146,19417.1,18873,54.56K,1.22%
2020-12-05,19146.5,18657.5,19172.7,18507.1,59.44K,2.62%
2020-12-04,18658.1,19431.1,19529.5,18610.8,110.63K,-3.99%
2020-12-03,19433.3,19219.8,19596.6,18883.7,99.97K,1.12%
2020-12-02,19218.8,18767.9,19335.5,18346.7,91.92K,2.39%
2020-12-01,18770.7,19697.8,19897.4,18257,208.72K,-4.71%
2020-11-30,19698.1,18186,19831.2,18186,185.59K,8.32%
2020-11-29,18185.5,17729.7,18336.3,17530.4,79.12K,2.57%
2020-11-28,17730.7,17142.6,17874.4,16874.4,95.20K,3.52%
2020-11-27,17127.1,17160.9,17450.3,16481.6,138.80K,-0.20%
2020-11-26,17162,18721.9,18894.9,16235.2,312.07K,-8.34%
2020-11-25,18723,19151.5,19486.7,18527.7,146.12K,-2.24%
2020-11-24,19152.6,18394.6,19416.6,18074.8,180.79K,4.21%
2020-11-23,18379.6,18428.1,18756.8,18016,127.35K,-0.18%
2020-11-22,18412.9,18689.3,18751.5,17644.6,121.76K,-1.47%
2020-11-21,18687.2,18673.8,18966,18397.5,108.91K,0.06%
2020-11-20,18675.2,17805.5,18811,17758.4,134.42K,4.90%
2020-11-19,17803.5,17775.1,18166,17380.1,135.94K,0.16%
2020-11-18,17774.6,17662.3,18466.1,17258.9,233.43K,0.64%
2020-11-17,17662.3,16715.8,17845.4,16562,175.87K,5.66%
2020-11-16,16715.8,15954.1,16880.7,15870.7,118.09K,4.78%
2020-11-15,15953,16074.7,16158.1,15782.3,58.43K,-0.73%
2020-11-14,16071,16323.1,16328.2,15717.7,83.64K,-1.55%
2020-11-13,16324.2,16293,16474.1,15973.4,113.75K,0.18%
2020-11-12,16294.7,15695.8,16342.7,15483.5,165.54K,3.82%
2020-11-11,15695.8,15303.1,15953.9,15281,119.07K,2.56%
2020-11-10,15303.6,15328,15465.3,15096.5,93.36K,-0.15%
2020-11-09,15327.2,15483.3,15819.6,14816.9,165.04K,-1.01%
2020-11-08,15483.7,14826.6,15648.3,14720.7,94.99K,4.42%
2020-11-07,14828.4,15578.2,15754.4,14385.1,160.73K,-4.81%
