Trade DATE,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,AGG,SPY,VTI,VTV,VOE,VBR,VEA,VWO,IEMG,BTC,ADA,ETH,UNI,GLD,BAR,UGL,DBP,ZI,ZG
2021-03-09,145.09,229.0,121.08,230.62,216.83,47.9,109.59,330.44,264.9,207.61,124.17,62.67,157.7,50.86,151.75,208.49,181.12,74.14,233.68,135.95,126.14,153.85,351.98,211.41,56.2,220.2,48.46,128.86,194.51,114.25,387.11,202.81,128.9,132.46,164.8,48.91,52.34,64.43,54879.0,1.1972,1869.1,32.8339,160.83,17.05,54.4999,48.3105,47.21,142.56
2021-03-10,146.71,229.98,119.97,245.3237,220.97,48.26,111.37,342.16,266.24,212.82,127.84,62.23,159.09,51.45,155.14,213.3,184.47,74.76,232.39,137.6,127.35,155.41,349.49,211.96,57.085,223.17,50.52,132.18,195.05,114.45,389.5199,204.28,130.65,134.515,167.56,49.1,52.23,64.23,55851.9,1.133092,1794.14,30.8809,161.66,17.14,55.09,48.465,46.82,149.02
2021-03-11,147.75,231.18,121.95,251.99,219.63,48.81,111.15,342.12,268.85,212.5,127.14,63.32,159.15,50.88,154.29,211.57,184.55,74.63,237.26,141.19,126.89,155.08,353.05,215.95,55.5096,226.15,51.55,132.13,196.75,114.44,393.5,206.95,130.58,135.39,169.4,49.475,53.82,66.21,57799.5,1.124155,1825.79,30.9915,161.51,17.115,54.95,48.34,48.74,160.88
2021-03-12,148.52,230.35,121.05,269.12,229.01,48.82,111.56,348.66,273.18,214.38,127.61,62.89,159.63,50.35,156.12,212.29,184.87,74.61,235.8,140.49,128.15,157.26,355.85,212.1,55.63,224.35,53.21,134.1,197.06,113.79,394.09,207.38,131.7799,137.0,171.42,49.59,52.85,65.07,57265.1,1.03205,1766.9,30.8985,161.48,17.12,55.0399,48.31,48.3349,157.05
2021-03-15,146.98,236.1,124.0,265.59,230.65,49.41,110.21,346.06,278.5,216.19,128.58,63.8,160.38,51.03,155.34,220.5,189.48,76.22,234.81,144.93,128.55,157.39,353.82,212.8,55.62,223.26,55.06,133.43,196.73,113.94,396.47,208.78,132.1,138.17,172.72,49.71,52.84,65.22,55791.3,1.0309540000000001,1792.38,29.7184,162.2,17.2099,55.4599,48.635,47.67,155.99
2021-03-16,143.29,240.33,125.57,255.2001,226.5,49.67,107.65,341.96,282.14,211.67,128.27,64.79,161.31,51.21,153.51,219.9,186.91,76.815,237.69,144.66,128.91,156.63,354.59,214.48,55.64,224.65,54.7,133.39,194.22,113.87,395.94,208.01,131.27,136.52,170.18,49.765,53.075,65.57,56889.7,1.249261,1804.85,30.0,162.36,17.215,55.51,48.46,48.34,150.09
2021-03-17,144.75,244.49,124.8,263.52,233.63,49.45,108.02,344.95,280.1,213.04,129.03,65.78,160.9,51.26,155.1,224.09,188.33,77.29,237.19,144.86,128.41,157.98,352.09,213.17,55.76,223.0,54.12,132.3,195.24,113.87,397.22,208.79,131.8,137.69,171.34,50.06,53.1,65.57,58913.5,1.377406,1823.35,31.3276,163.53,17.335,56.33,49.13,48.61,148.97
2021-03-18,142.58,244.5,120.55,256.16,230.64,48.81,104.13,348.12,283.29,215.02,130.07,63.72,160.44,50.56,157.7,222.97,191.03,77.28,230.72,143.34,128.69,156.83,362.05,209.53,56.32,220.66,52.69,129.99,192.3,113.42,391.41,205.08,131.29,136.47,168.56,49.58,52.3,64.49,57656.0,1.2312299999999998,1776.08,29.967,162.57,17.24,55.6,48.6485,47.2,137.705
2021-03-19,140.72,245.53,119.87,255.82,225.22,48.96,103.24,344.1,288.4,212.91,128.9,63.73,159.98,50.72,154.57,222.5,188.73,77.36,229.91,137.54,128.07,149.29,365.02,212.16,56.24,206.88,52.46,131.75,191.45,113.5,389.5,205.15,130.73,136.31,168.68,49.74,52.81,65.16,58088.0,1.2959319999999999,1809.64,33.2514,163.27,17.315,56.18,48.887,48.84,141.57
2021-03-22,139.95,249.75,123.37,251.18,226.01,50.32,102.54,339.3,288.74,212.03,130.55,65.66,160.55,51.0,150.98,225.08,189.47,77.53,236.04,138.37,130.15,147.575,366.72,215.17,56.59,207.99,53.12,132.345,192.8701,113.75,392.54,206.38,130.88,135.92,166.82,49.54,52.66,65.05,54158.3,1.103464,1682.37,32.8211,163.01,17.29,55.98,48.5518,54.63,143.89
2021-03-23,136.09,245.04,122.55,241.25,218.3,50.01,101.94,331.65,289.99,208.48,130.48,63.48,160.41,51.38,149.47,224.38,188.28,76.28,237.53,137.15,132.59,146.96,368.62,214.97,56.91,208.29,52.03,133.93,188.76,114.04,389.59,204.15,129.34,133.23,161.44,48.78,51.78,63.84,54452.5,1.116343,1667.9,31.0002,161.82,17.165,55.17,48.12,56.25,140.88
2021-03-24,138.44,245.65,120.07,239.11,221.28,49.65,104.76,328.61,293.02,212.2,130.62,62.01,161.91,51.515,150.61,224.06,190.7,76.24,235.46,133.16,132.6,149.35,370.51,209.53,57.02,208.024,51.77,133.12,184.72,114.17,387.53,202.38,129.38,132.7483,160.06,48.57,50.54,62.41,52325.4,1.070167,1582.38,27.4078,162.36,17.22,55.6,48.1957,54.315,133.13
2021-03-25,142.31,246.25,120.63,247.37,224.24,50.52,105.11,330.68,297.66,213.89,133.07,62.005,162.02,52.04,152.61,224.32,193.07,76.08,232.32,128.67,133.48,152.79,371.11,205.4,57.36,208.04,51.7,134.01,186.92,114.095,389.63,203.18,130.2,134.29,163.23,48.88,50.64,62.71,51322.3,1.096429,1586.54,26.5118,161.81,17.15,55.1,48.1584,54.43,131.07
2021-03-26,143.66,252.91,121.21,244.88,229.5774,52.58,107.465,327.38,303.66,218.56,136.32,64.88,164.81,53.04,155.07,225.07,194.81,77.37,236.48,133.0,135.56,153.65,376.75,209.09,58.18,213.4,52.02,135.0699,185.86,113.93,395.99,206.49,132.28,135.78,166.41,49.56,51.9,64.225,55036.1,1.214457,1698.6,28.9782,162.27,17.2099,55.46,48.04,52.91,132.0156
2021-03-29,142.18,254.96,121.39,250.67,230.21,52.55,106.95,325.86,302.21,218.88,135.87,64.51,166.07,53.85,152.7098,227.48,195.69,78.3,235.27,133.47,137.57,153.88,379.2,210.85,58.83,214.52,52.88,136.67,184.83,113.72,395.77,205.57,131.97,134.72,163.24,49.32,51.62,63.835,57616.2,1.202812,1816.69,29.0185,160.35,17.0,54.11,47.5487,49.73,122.57
2021-03-30,143.42,249.75,119.88,251.81,233.035,51.78,105.81,331.54,304.75,218.35,134.66,63.78,164.93,53.13,154.31,224.96,194.61,76.89,232.26,132.81,135.45,153.9,373.25,209.55,58.59,211.66,53.11,135.72,185.41,113.815,394.4,205.33,131.92,135.47,165.58,49.22,51.79,64.04,58771.3,1.212645,1841.01,28.5605,157.565,16.71,52.26,46.59,49.0,126.4359
