Expected Return,Volatility,Sharpe Ratio
-0.0002642288989697316,0.008118544376819053,-0.03254633918417525
-0.00021859425364944153,0.007568094970996266,-0.028883656255263103
-0.00029884242616949527,0.007432260239726236,-0.04020882161420427
-0.0002274288175124751,0.007083532436279211,-0.03210669529056852
-0.00025647246103043637,0.008681981465784975,-0.029540774999483092
-0.00020227892708018662,0.008987836753199871,-0.022505852368554735
-0.0001908809651732356,0.009317210936029486,-0.02048692108440975
-0.00030985579462116357,0.007870888657020729,-0.03936732027644379
-0.0001479714053667088,0.00814615603918291,-0.01816456800667311
-0.00024572663824323266,0.007963129068000547,-0.03085805041521597
-0.0003022833339969912,0.0077285186649966,-0.03911271319898199
-0.0003150103085166278,0.008060270689764356,-0.039081852290228376
-0.00028336159223669896,0.008859719002948154,-0.03198313537284961
-0.0001833140472253925,0.008722595408125738,-0.021015997951094007
-0.0002349715681238505,0.0073656700097915,-0.031900908920911845
-0.00018592618919597353,0.009029810763312517,-0.02059026418929824
-0.0001307784883528527,0.010163525538221193,-0.012867433437446882
-0.00026398923734704865,0.008017682157512166,-0.03292587959472851
-0.00025795157753557,0.00845203805286475,-0.030519452932200115
-0.00022009071143951834,0.008373156512181255,-0.02628527379362021
-0.0003876790023812222,0.008783701004365041,-0.04413617929259728
-0.0002816304960481009,0.00839567706928734,-0.03354470327096643
-0.00026628210785836363,0.009665059257576018,-0.02755100623409388
-0.00035211750164194477,0.007695878221735926,-0.045754037615543135
-0.00025045964378852604,0.009747525795025292,-0.02569468899649895
-0.00026420773718827914,0.007407807274196371,-0.03566611919138264
-0.0001601949599895142,0.008936565027876445,-0.01792578686439443
-0.000308415967465483,0.007449642816775351,-0.041400101327137694
-0.000295229444595294,0.008458753497933813,-0.03490223998930913
-0.00025010704350745096,0.008124688396533453,-0.03078358594209763
-0.0003131051974434259,0.01030585029943526,-0.030381306573081454
-0.00024196208123701717,0.008534379515034284,-0.028351455523014102
-0.0002866978673893567,0.008377831569891482,-0.034221011128906034
-0.0002400774304359211,0.007809988285107781,-0.030739793924365398
-0.00021375923468921885,0.00739034697619538,-0.028924113492606828
-0.00029492978812611887,0.00836849504258529,-0.03524287062671257
-0.0003160182728869171,0.007775231629826615,-0.04064422617001369
-0.0001678056447130925,0.009329150950729967,-0.017987236523379697
-0.0004158831891713215,0.007756383901611504,-0.05361818012707127
-0.0002678978272818647,0.007253920184317303,-0.036931455058059434
-0.0002626378453947693,0.007749364302545327,-0.03389153421378115
-0.0002094125117779049,0.00944152177729494,-0.022179953265743884
-0.00029010809322319405,0.009155978259784986,-0.031685100705995645
-0.0003656619415779795,0.007538717258616719,-0.04850453054994596
-0.0002360719471228346,0.00877552876983346,-0.026901164968468873
-0.00025173730072889527,0.008216366238932635,-0.030638519925761946
-0.00032532069306357103,0.0068780501753032,-0.047298389045152635
-0.0003078308097634395,0.009608604087055555,-0.03203699590226021
-0.00021103046630957986,0.00883541523107499,-0.02388461218747997
-0.00022433417040132906,0.008283252974928912,-0.027082858760963332
-0.000184534507719913,0.009685074184406629,-0.01905349450157245
-0.00038835088164618166,0.0076529097896584205,-0.050745519327951634
-0.0002832685277932035,0.009340211732130317,-0.030327848652376914
-0.0002264775491877165,0.009584338844486827,-0.023629960591177612
-0.00034519330216830073,0.006875518581394787,-0.05020614781005709
-0.00037028693541285817,0.008001180282566682,-0.04627903913372073
-0.00018117925337805054,0.008309032848900954,-0.021805095330922338
-0.00023230767204620177,0.009567060060886477,-0.02428203341128354
-0.00023613372075365608,0.00857267378004958,-0.02754493251605923
-0.0003387196328927134,0.007676287834109194,-0.044125447118805255
-0.00022331945796927959,0.008246205513121064,-0.027081481005286824
-0.00021187692858562354,0.009160043996128794,-0.023130557961857683
-0.00026461696951577237,0.008110598656541396,-0.03262607123363851
-0.00029636468083899686,0.008422035470683847,-0.03518919884279861
-0.00031613993100630813,0.008961501857451646,-0.03527756128772458
-0.0002103265383320898,0.009192715315890556,-0.022879696705990528
-0.0002334516397538987,0.006384408774617111,-0.03656589795472477
-0.0003579169880749461,0.008074915913954829,-0.04432454676789942
-0.0003316344586436726,0.007976036309369734,-0.041578855183255596
-0.00011760220102423884,0.008761852853086926,-0.01342206985167594
-0.00025039231069705716,0.007831008464326389,-0.031974465592484264
-0.0002785602453266062,0.007608188990214784,-0.036613213168715235
-0.0003075821816385933,0.006973848737651952,-0.044105083607269946
-0.000359777438797625,0.007409038332024177,-0.04855926271059425
-0.0003128238626248878,0.007653009126712309,-0.0408759296435434
-0.00029082785908656964,0.008866803042261518,-0.032799630001975624
-0.00034497981485562057,0.009633613038443314,-0.03581001369672676
-0.00030967040301267044,0.008048211392880266,-0.038476922125407376
-0.0003463119107009744,0.006365938234769923,-0.05440076512358603
-0.00018082238503755926,0.008170277757081205,-0.02213173045198371
-0.0002659305375658591,0.0067558099110532985,-0.039363235654509096
-0.0003129491455708673,0.00785560861601271,-0.03983767023893709
-0.0002982994230277179,0.008770643747749577,-0.034011120689317394
-0.00016112760212556144,0.008134824688051157,-0.019807138851097042
-0.0002965051256574959,0.008198254097035696,-0.03616686213284185
-0.0001830535062342123,0.008666442733110832,-0.021122104174858485
-0.00022038424952513632,0.008510953994522086,-0.025894188790937238
-0.0002962238447181544,0.008493641901624542,-0.03487595170000008
-0.00019096620761515222,0.007980123456705079,-0.023930232239038625
-0.00022588935787717676,0.008434957493119422,-0.02678014181594153
-0.00023250293272764582,0.009057500513733462,-0.025669657139418604
-0.00025388339229294503,0.008412445810416813,-0.030179498093000592
