,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,AGG,SPY,VTI,VTV,VOE,VBR,VEA,VWO,IEMG
2021-06-25,169.39,242.68,133.11,248.3,216.33,53.05,107.31,368.67,313.72,218.74,146.84,55.91,164.21,54.3,154.02,232.41,195.0,77.21,265.02,154.35,134.93,151.73,404.96,242.74,56.38,237.43,52.15,138.53,178.35,114.89,426.57,222.48,137.8,141.63,176.05,52.21,54.555,67.39
2021-06-28,164.79,242.84,134.75,239.96,216.27,52.97,103.98,368.595,314.35,216.74,145.27,57.48,164.06,54.26,154.32,231.08,196.49,76.86,268.72,152.39,135.32,149.45,401.41,244.57,56.18,234.1,52.21,138.09,176.555,115.16,427.48,222.73,137.24,140.66,173.51,51.869,54.695,67.5
2021-06-29,164.26,242.43,136.33,235.8,215.12,52.92,103.76,372.62,318.22,215.94,145.55,56.76,164.07,53.87,154.14,230.36,195.97,77.23,271.4,155.96,134.4,149.52,398.1,245.82,55.83,235.86,51.99,137.28,173.92,115.25,427.68,222.81,136.89,140.34,172.78,51.85,54.64,67.44
2021-06-30,165.25,243.76,136.94,239.55,217.64,53.02,104.71,379.445,318.8,219.35,146.59,56.15,164.74,54.1,155.48,230.99,198.59,77.77,270.89,154.47,134.92,149.71,400.41,244.15,56.03,233.97,52.61,141.02,175.72,115.35,428.08,222.83,137.42,140.49,173.67,51.52,54.28,67.0
2021-07-01,166.92,246.9,137.27,239.75,216.71,53.43,106.205,374.96,321.585,220.625,146.84,56.0,165.96,53.97,157.08,232.28,199.12,77.99,271.72,158.02,135.23,151.81,404.95,244.93,56.29,235.23,48.71,139.32,177.28,115.115,430.47,224.01,138.43,141.73,175.21,51.65,54.01,66.66
2021-07-02,168.51,248.7,139.96,236.715,217.77,53.53,106.07,374.16,322.77,221.28,140.01,56.76,168.98,54.18,156.03,233.68,199.96,78.6,277.66,159.72,135.91,151.28,409.41,248.21,56.44,238.63,48.16,140.13,177.0802,115.37,433.75,225.28,138.8,141.69,174.39,51.87,53.95,66.68
2021-07-06,169.58,243.62,142.02,236.14,213.5,52.9799,103.99,369.86,319.26,218.56,138.78,56.1,167.99,53.88,153.42,232.78,196.89,78.12,277.66,160.11,135.99,150.86,410.28,250.17,56.41,239.61,47.69,139.93,173.64,115.75,432.9,224.68,137.38,139.98,171.33,51.53,52.98,65.535
2021-07-07,170.99,243.23,144.59,231.75,214.6501,53.26,102.94,367.69,323.31,220.73,139.83,55.96,169.43,54.33,153.68,234.71,199.86,78.59,280.0,160.15,137.01,152.26,411.65,248.35,56.54,240.27,47.5,139.73,172.82,115.95,434.43,225.08,137.87,140.29,170.95,51.735,53.05,65.56
2021-07-08,167.51,244.28,143.32,236.77,212.11,53.27,102.62,359.06,318.54,219.3,140.74,55.45,169.09,54.13,150.98,232.93,198.3,78.13,277.53,160.64,136.98,148.6,410.2,245.95,55.69,236.72,46.72,139.6,172.86,116.06,430.95,223.17,136.52,138.66,168.84,50.98,52.01,64.25
2021-07-09,171.94,245.16,145.11,239.59,217.49,53.73,104.07,371.77,322.1,224.16,141.5,55.99,169.74,54.46,155.78,235.7,200.98,77.98,277.92,160.97,137.03,153.33,412.12,245.06,56.07,238.45,47.4,140.3,177.03,115.69,435.48,225.87,138.52,141.31,173.03,51.87,52.99,65.3
