Expected Return,Volatility,Sharpe Ratio
0.0004820163614108812,0.007347535159697511,0.06560245727775806
0.0003999112276124045,0.009710505667994487,0.0411833576216838
0.0005962800144534848,0.008846586341747226,0.0674022714998696
0.00031280518265095207,0.008702456060442107,0.03594447136284199
0.0004686169453672981,0.00912116942506874,0.05137684912192785
0.00045028751086053514,0.008297430051080999,0.054268310559830654
0.0004602633320966542,0.009595127045980171,0.04796844584663203
0.0005345292989859079,0.008996942789415409,0.05941232610868251
0.0006620095569657054,0.009232937618538292,0.07170085885087038
0.0006703862677632114,0.011504913223616664,0.05826956316255204
0.0004779741807165467,0.010794694245950375,0.044278621499247973
0.0003435905502096523,0.009838459710770811,0.0349232054925733
0.00048277307293533955,0.008032865250751356,0.06009973500927123
0.0005344051191333843,0.010315079613217188,0.05180814294914664
0.000726299244755123,0.008590719327499776,0.08454463672560741
0.000624676998495246,0.009283968207159857,0.0672855598550511
0.0003670660930586812,0.009111039684978476,0.04028805775743346
0.0006285669173312398,0.01131554594982101,0.0555489695431958
0.0005296453440708003,0.008794254424197463,0.060226293045772795
0.0002746299329385803,0.010431681454486615,0.02632652599073214
0.0005281122091825565,0.010888083082535189,0.04850369024366322
0.0005075920078154451,0.009109899066758506,0.055718730152304205
0.0004917825435290937,0.007474711525503816,0.0657928458979487
0.0007192159126598736,0.008541664057116136,0.08420091305987251
0.00035028895894509513,0.00902290440990825,0.03882219549621241
0.0005402487615704078,0.008619708074503157,0.06267599284115523
0.0004441998174583754,0.008735508620081236,0.05084990889222482
0.00042146377156071973,0.009393259303487103,0.044868746613250396
0.0002849193594332735,0.008656396540436276,0.03291431464609335
0.0002697290283741886,0.00896697323072958,0.030080275856053006
0.00041798536155623445,0.009026629415319554,0.046305807220450426
0.0004166115467090989,0.008700479006121052,0.047883748287421875
0.00046746253419838445,0.009671846612503227,0.04833229402067593
0.0006633310774228998,0.009199538508640661,0.07210482099725617
0.0005870445327394758,0.008647439165565084,0.06788651778865844
0.0003657301459778124,0.010342981881520186,0.03536022301569171
0.00016583568423203144,0.011147757036167593,0.014876148062251175
0.0005106515693731938,0.008919405105720184,0.057251752030603835
0.0005639618357714496,0.008935121947817344,0.06311741899719826
0.0003363257041398012,0.011644118553695426,0.02888374097093536
0.0004833950481321422,0.00911291705614713,0.053045039821367344
0.00048404178996567615,0.008663510694284018,0.055871321343786834
0.000500985854090148,0.008271909698441436,0.06056471508441902
0.0007240529063625794,0.009882365701661594,0.07326716377646691
0.0005374730561167832,0.00906985781421523,0.059259259309930874
0.0005013052557758504,0.010348125613304246,0.048444063640988154
0.0006876389968087061,0.009733345540032029,0.07064775353762313
0.0005982252350909466,0.009699752697904698,0.06167427703802931
0.0007644825741882225,0.0073854222350799355,0.10351237205599637
0.0002638735871629996,0.008726770534267977,0.030237255136574298
0.0003863526168296034,0.011393140768657986,0.033910984220649844
0.00047041493162384664,0.00955570272271745,0.04922871140659241
0.000424963493037218,0.009950945929712397,0.04270583882566633
0.00033376383088811216,0.00819689521461155,0.04071832348096317
0.0005547186322415912,0.009490743424688915,0.058448385697432714
0.0007082679445682529,0.010119776016364657,0.06998850008368912
0.0005402630866995332,0.007980089856106107,0.06770137886181085
0.0006032169729517879,0.010798593433870948,0.05586069858503359
0.0004786990958741506,0.008965415130864218,0.05339396881090174
0.0005091939642774133,0.009280208863835676,0.05486880432850024
0.0004227263118497054,0.012250838162887846,0.03450590941036949
0.0005275951982723224,0.008559581890884172,0.061637963746126845
0.0004962598508307643,0.00870796763244546,0.05698917035264629
0.00048706754275753866,0.008955409923679509,0.0543880790392024
0.0003275718208131887,0.00794092223936785,0.04125110546848342
0.0004106899701928371,0.009770422984918616,0.042034001069019014
0.0004949219481132539,0.010025119609958031,0.04936818385903785
0.0004325537219725653,0.010143286600956383,0.042644336001684206
0.000606906799771,0.008728825034142271,0.06952903711520403
0.0005633264085424818,0.009039204913520185,0.062320349403728985
0.0004921007118954292,0.009425474710126693,0.052209647474489335
0.00043573935897641,0.009559008080388483,0.0455841605438523
0.0005621604387710836,0.010015885139253916,0.05612688553784264
0.0003995018614270586,0.008275974622275792,0.04827248507405409
0.0005189396723270054,0.010899790707165477,0.04761005841936549
0.0003442417915635119,0.009032382641162236,0.038111958410036624
0.0006374383763407684,0.00813140838673323,0.07839212422054445
0.0005675752028220157,0.009658289485613356,0.058765602715414096
0.00047648818880102116,0.010039484365254214,0.04746142047395437
0.0005155467070548578,0.009258455040803333,0.05568388081842703
0.0006146667074178184,0.007498235731841765,0.08197484440341007
0.00041842118914657556,0.011225688553096058,0.03727354337041308
0.0002925676106805689,0.009250626327511058,0.03162678940024661
0.00033371570375471515,0.009813510264051403,0.03400574257074697
0.00045245143137913053,0.010128955186628237,0.044669111773387574
0.0004902277702316545,0.00800547318933397,0.06123657635688615
0.0005882877072795163,0.0096633449608332,0.060878268308119314
0.0006428572328646789,0.009432807859724232,0.06815120613338484
0.0005520644861124606,0.01037923521886964,0.05318932218712967
0.0004952585209140989,0.009543377097276293,0.05189552040812126
0.0006280938371266265,0.009746512593440403,0.0644429308539904
0.0006067236974751261,0.00968732083974583,0.06263070125496586
0.0006243097648594053,0.010895651085681411,0.0572989865359993
0.0005334175394487676,0.008923887686921024,0.059774120670585296
0.0004424684903822839,0.008666305954739611,0.0510561815718377
0.0005742803983655053,0.008625971037312035,0.06657573922766828
0.0004843426165602241,0.009876288161480593,0.04904095634321937
0.0005953204856175528,0.008596389882991124,0.0692523831190414
0.00030679442570544295,0.008895295323463219,0.034489515474118985
